url,label
https://www.youtube.com/watch,safe
https://www.flipkart.com,safe
https://www.amazon.com,safe
http://www.linkedin.com/,safe
http://www.facebook.com/ ,safe
https://www.facebook.com/ ,safe
https://www.linkedin.com/,safe
http://twitter.com,safe
https://www.google.com,safe
https://web.telegram.org,safe
https://chromewebstore.google.com/,safe
https://www.geeksforgeeks.org,safe
https://www.pinterest.com/ ,safe
http://blog/individual-post-title,safe
https://blog/individual-post-title,safe
https://www.microsoft.com,safe
https://yahoo.com,safe
https://powerpoint.office.com,safe
https://zomato.com,safe
https://play.google.com,safe
https://www.swiggy.com/instamart,safe
https://bigbasket.com,safe
https://pizzaonline.dominos.co.in/,safe
https://en.wikipedia.org/wiki/Netflix,safe
https://en.wikipedia.org/wiki/Disney%2B_Hotstar,safe
https://www.rapido.bike/,safe
https://www.uber.com/in/en/,safe
https://apsrtconline.in,safe
https://www.snapchat.com/,safe
http://www.youtube.com/watch,safe
http://www.flipkart.com,safe
http://www.amazon.com,safe
http://www.google.com,safe
http://web.telegram.org,safe
http://chromewebstore.google.com/,safe
http://www.geeksforgeeks.org,safe
http://www.pinterest.com/ ,safe
http://www.microsoft.com,safe
http://yahoo.com,safe
http://powerpoint.office.com,safe
http://zomato.com,safe
http://play.google.com,safe
http://www.swiggy.com/instamart,safe
http://bigbasket.com,safe
http://pizzaonline.dominos.co.in/,safe
http://en.wikipedia.org/wiki/Netflix,safe
http://en.wikipedia.org/wiki/Disney%2B_Hotstar,safe
http://www.rapido.bike/,safe
http://www.uber.com/in/en/,safe
http://apsrtconline.in,safe
http://www.snapchat.com/,safe
https://home-paypal-jp.moonkahonda.com/panel_JP/-/jp/xppl/,malicious
https://promo-twitter.info,malicious
http://111111111111111111111111111111111111111111111111111111111111.com/,malicious
https://fydo.steaminedik.pro/GQEHU?tag_id=747518&sub_id1=nov_15099585_Windows_10.0_Chrome&sub_id2=410874278257517046&cookie_id=dcbc8830-89eb-4781-bc20-43e15567cf5b&lp=download_screen_arrow&convert=Your%20Video%20Is%20Ready%20To%20Stream&allb=redirect&ob=redirect&href=https%3A%2F%2Fwww.predictionds.com%2Fjump%2Fnext.php%3Fr%3D2160135%26sub1%3D%5BWEBSITEID%5D&hop=5&info=&geo=IN&sub=fydo,malicious
https://fydo.steaminedik.pro/GQEHU?tag_id=747518&sub_id1=nov_15099585_Windows_10.0_Chrome&sub_id2=410874278257517046&cookie_id=dcbc8830-89eb-4781-bc20-43e15567cf5b&lp=download_screen_arrow&convert=Your%20Video%20Is%20Ready%20To%20Stream&allb=redirect&ob=redirect&href=https%3A%2F%2Fwww.predictionds.com%2Fjump%2Fnext.php%3Fr%3D2160135%26sub1%3D%5BWEBSITEID%5D&hop=5&info=&geo=IN&sub=fydo,malicious
https://promo-twitter.info/,malicious
https://www.kaggle.cohttps://www.kaggle.com/ryches/better-indoor-localization-wipm/ryches/better-indoor-localization-wip,malicious
http://www.dhilloncraneservice.com/.well-known/bankofamerica.com/,malicious
http://www.dhilloncraneservice.com/.well-known/bankofamerica.com/,malicious
http://www.dhilloncraneservice.com/.well-known/bankofamerica.com/,malicious
https://home-paypal-jp.moonkahonda.com/panel_JP/-/jp/xppl/,malicious
https://www.online-convert.com/file-format/crx,malicious
http://www.dhilloncraneservice.com/.well-known/bankofamerica.com/,malicious
http://www.dhilloncraneservice.com/.well-known/bankofamerica.com/,malicious
https://www.wikipedia.org,malicious
https://www.a.COM,malicious
https://chatgpt.com/c/67888a10-c108-8013-9078-4c4ef7b33ffc,malicious
https://designlab.com/figma-101-course/introduction-to-figma,malicious
https://designlab.com/figma-101-course/introduction-to-figma,malicious
http://www.geeksforgeeks.org/,malicious
http://ord-amazsn.com,malicious
http://www.dhilloncraneservice.com/.well-known/bankofamerica.com/,malicious
http://my3service.co.uk,malicious
http://my3service.co.uk,malicious
http://my3service.co.uk,malicious
http://geeksforgeek.com/,malicious
http://my3service.co.uk,malicious
http://ourweddingclub.com/,malicious
https://lineupnow.com/event/full-watch-power-seaso,malicious
http://bcpzonasegurabeta-viabcp-com.edohibachi.net/m/,malicious
br-icloud.com.br,malicious
signin.eby.de.zukruygxctzmmqi.civpro.co.za,malicious
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,malicious
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,malicious
retajconsultancy.com,malicious
alexpay2.beget.tech,malicious
facebook.unitedcolleges.net,malicious
halkbankparaf-para.com,malicious
http://example.com,malicious
https://example.com,malicious
https://example.com/,malicous
http://example.com/,malicious
